Kids_First_Biospecimen_ID,PC1,PC2,ecotype
BS_6VRG1XFB,1.01947059528558,-1.12319578926401,Intermediate
BS_6WP1FHTE,-2.00348613538273,2.20923090580539,Intermediate
BS_7327SDAQ,2.02208006567248,1.17850184825329,Intermediate
BS_75YRDXET,-8.40757533698916,0.432593410571262,Inflamed
BS_77SBTNPN,1.15100342301472,0.0929150657345861,Intermediate
BS_7AEF4D4G,-2.89716744789143,1.74762602803208,Inflamed
BS_7APCGCVF,-1.08671940886708,1.73421359779007,Intermediate
BS_7GJT4A6A,4.45428639127715,1.09607610985992,Immune-desert
BS_7GKWKGPH,-3.44535937348656,2.38900486016099,Inflamed
BS_7PVJ6Q3D,3.59829012797848,-0.654541930592634,Immune-desert
BS_7WKNNRHK,0.267662440682202,0.832410173112634,Intermediate
BS_84VZX732,-2.04647581936392,1.39984316642656,Intermediate
BS_84XCR9GG,1.92638519427704,1.56552735749776,Intermediate
BS_8E8JKP01,5.2564860986645,0.754596714916237,Immune-desert
BS_8ERBDF7D,3.45143553031377,-1.05993894231197,Immune-desert
BS_8JK9TXH2,-1.16608250930198,0.930915101293217,Intermediate
BS_8VD670NP,1.04257181020925,-1.44392417790284,Intermediate
BS_8YWYN7VH,-2.75747923681044,-0.457741552545499,Inflamed
BS_8ZE4Z9G5,-1.48611490329496,-0.563914875329406,Intermediate
BS_8ZY4GST0,4.72456085541985,-1.63559646234683,Immune-desert
BS_91VYM11A,-0.499186402333847,2.05681476576528,Intermediate
BS_956G6QPJ,0.175894493475454,-0.184537466541496,Intermediate
BS_97M1E2DW,5.50975519317431,0.711284408396003,Immune-desert
BS_9A1YTHFF,-5.01013316752182,-3.21583210863061,Inflamed
BS_9B0A62MT,-2.14528207489873,0.336131885417472,Inflamed
BS_9CA93S6D,8.80180538647759,-0.221933177456688,Immune-desert
BS_9FHEFJNP,0.426384255663359,-0.374917707008231,Intermediate
BS_9FX3YREK,6.22703588425145,-0.380352624196836,Immune-desert
BS_9GJ3DB1H,-3.73636588246928,-4.58097498892302,Inflamed
BS_9JPQZQNG,1.60641325064446,-0.316441469101285,Intermediate
BS_9TXEDSWB,-1.38025370272492,3.14409115018259,Intermediate
BS_9XVACXP0,4.13138035228218,0.805079061311343,Immune-desert
BS_9Y1K14Q5,1.06358356278258,-0.366343573150182,Intermediate
BS_9ZJT0CP0,-0.0397903028759062,1.69765347329783,Intermediate
BS_A4PF49V0,3.15561876163768,-0.264132476447863,Intermediate
BS_A6NXR7RC,-0.325116365459576,1.63628770962387,Intermediate
BS_A7Q8G0Y1,1.16129353154432,1.54942301653866,Intermediate
BS_A8XW5S0W,-2.12360713403039,-4.95913278470844,Inflamed
BS_AWH9757B,4.41660944325282,-0.544207506813426,Immune-desert
BS_AYSXRQWY,-1.74986340042425,0.762502544311787,Intermediate
BS_AZQM1JJH,-3.63777760507795,-4.83012686492475,Inflamed
BS_B1C6GZ84,3.76548623075836,1.13500471005849,Immune-desert
BS_B3MQFFYP,-6.19559834765678,4.06210200388596,Inflamed
BS_B4R7X1KE,3.7540408482386,-0.0961603216389036,Immune-desert
BS_B57327NA,-0.654082898250153,1.77768835401674,Intermediate
BS_BBAEMXRD,5.07099902083214,0.23359970158313,Immune-desert
BS_BBQ6BHGN,1.95554001046785,-0.328973234471113,Intermediate
BS_BK0HGRXM,-3.98519062081851,-1.54656213723132,Inflamed
BS_BMMY0H73,-0.0905237085798776,0.358054142402985,Intermediate
BS_C6ZZ3FY5,1.06729838196192,1.28033589135302,Intermediate
BS_C83TK159,1.36561660892312,-1.48609351960858,Intermediate
BS_CBDQZ8PP,6.11663601199941,-2.62858904230097,Immune-desert
BS_CF63VG3S,-1.33023711851158,-8.09963959773395,Inflamed
BS_CFD3WHAY,-0.253113819282313,0.472381179528773,Intermediate
BS_CG1RG607,-4.97793544874189,0.446607522298228,Inflamed
BS_CVEDJGHZ,-6.95748983717093,-2.72590650394143,Inflamed
BS_CXAQDK7S,-6.47755687932028,2.42655859737475,Inflamed
BS_CZPQ493E,-1.37348848194697,0.445868818535987,Intermediate
