ecotype	source	term_id	term_name	p_value	term_size	query_size	intersection_size	precision	recall
Lymphocyte-inflamed	KEGG	KEGG:04145	Phagosome	1.8101912759139355e-11	149	158	21	0.13291139240506328	0.14093959731543623
Lymphocyte-inflamed	GO:BP	GO:0031347	regulation of defense response	1.822322254994857e-11	831	195	36	0.18461538461538463	0.04332129963898917
Lymphocyte-inflamed	GO:BP	GO:0071674	mononuclear cell migration	2.0627120027113587e-11	223	186	20	0.10752688172043011	0.08968609865470852
Lymphocyte-inflamed	GO:BP	GO:0002237	response to molecule of bacterial origin	2.7897350861541957e-11	345	193	24	0.12435233160621761	0.06956521739130435
Lymphocyte-inflamed	GO:BP	GO:0016477	cell migration	2.8525756402277968e-11	1532	190	48	0.25263157894736843	0.031331592689295036
Lymphocyte-inflamed	KEGG	KEGG:04610	Complement and coagulation cascades	3.588917660032631e-11	86	118	15	0.1271186440677966	0.1744186046511628
Lymphocyte-inflamed	GO:BP	GO:0008283	cell population proliferation	4.173268947814211e-11	1961	187	54	0.2887700534759358	0.027536970933197347
Lymphocyte-inflamed	KEGG	KEGG:05152	Tuberculosis	4.8591221214771524e-11	176	60	15	0.25	0.08522727272727272
Lymphocyte-inflamed	GO:BP	GO:0042116	macrophage activation	4.98528269161432e-11	105	186	15	0.08064516129032258	0.14285714285714285
Lymphocyte-inflamed	WP	WP:WP2806	Complement system	5.393995643780399e-11	94	177	18	0.1016949152542373	0.19148936170212766
Lymphocyte-inflamed	GO:BP	GO:0042742	defense response to bacterium	5.6928715092477764e-11	334	186	23	0.12365591397849462	0.0688622754491018
Lymphocyte-inflamed	GO:BP	GO:0030593	neutrophil chemotaxis	5.858485298211312e-11	82	117	12	0.10256410256410256	0.14634146341463414
Lymphocyte-inflamed	GO:BP	GO:0002285	lymphocyte activation involved in immune response	7.373575823337562e-11	214	157	18	0.11464968152866242	0.08411214953271028
Lymphocyte-inflamed	GO:BP	GO:0032496	response to lipopolysaccharide	7.598136941843646e-11	326	193	23	0.11917098445595854	0.0705521472392638
Lymphocyte-inflamed	GO:BP	GO:0071677	positive regulation of mononuclear cell migration	1.0155257139736874e-10	96	173	14	0.08092485549132948	0.14583333333333334
Lymphocyte-inflamed	WP	WP:WP3937	Microglia pathogen phagocytosis pathway	1.025274161115674e-10	40	180	13	0.07222222222222222	0.325
Lymphocyte-inflamed	GO:BP	GO:0050866	negative regulation of cell activation	1.0730640031226536e-10	213	138	17	0.12318840579710146	0.07981220657276995
Lymphocyte-inflamed	GO:BP	GO:0002396	MHC protein complex assembly	1.490489340036853e-10	18	131	8	0.061068702290076333	0.4444444444444444
Lymphocyte-inflamed	GO:BP	GO:0002501	peptide antigen assembly with MHC protein complex	1.490489340036853e-10	18	131	8	0.061068702290076333	0.4444444444444444
Lymphocyte-inflamed	GO:BP	GO:0042127	regulation of cell population proliferation	1.6723734171981179e-10	1639	167	45	0.2694610778443114	0.027455765710799267
Lymphocyte-inflamed	GO:CC	GO:0098588	bounding membrane of organelle	2.0645237713301857e-10	2268	143	46	0.32167832167832167	0.020282186948853614
