sample,MCP_NK,QTS_NK,EPIC_NK,xCell_NK,NK_ssGSEA
BS_223BM91B,0.177713469942491,0.0197692361301945,1.522971662959e-08,0,0.401539381315481
BS_24AHZ9ZW,0.0649644341759334,0.0138042688322009,0.00116502635883038,0,0.38178786934783
BS_25HNKZ79,0.111735409699634,0.0334062322121607,1.2805484134286e-08,0,0.418095491450106
BS_2720P44V,0.206534904593181,0.0852293886287591,3.21555558022364e-10,6.98005024503355e-19,0.396386986267735
BS_27FYYPJG,0.0236292280487521,0.05372306823671,9.83322228706135e-10,7.03117671405346e-18,0.313057826859305
BS_2853394H,0.0364504447538206,0.0292822637513851,7.34647688585942e-11,1.20127163362144e-18,0.209477167348976
BS_297H8BT4,0.0472445792262642,0.0291489317861982,0.000265370424091868,4.56172680883973e-18,0.425117353831713
BS_29TRQXWM,0.0330883702732477,0.0544993529904632,1.05696425201205e-08,1.28835918205301e-17,0.381552608924309
BS_29X4ZX6Q,0.02304756829225,0.0165010488644954,7.35108666876954e-10,4.25863551566539e-18,0.220300227795062
BS_2A5R9D97,0.0851496702548659,0.0254635288987549,6.0114439306149e-09,0,0.385516750770976
BS_2A5R9MEJ,0.0196854901844579,0.0128491540988143,9.07116000900796e-11,1.32249743517372e-17,0.216259433010785
BS_2ADZNNV4,0.0413666499565561,0.0166729745973891,2.78303641382341e-09,1.71009525905848e-17,0.338277946416496
BS_2ARXK0TD,0.235547296854722,0.103518190711542,1.39661965508829e-09,0,0.358070340134368
BS_2AV1H5TV,0,0.0132626874730024,1.28394644436871e-08,2.70278117205678e-17,0.326576138561953
BS_2DMBCHNF,0.509029879336852,0.0137425642271853,0.000100077446830506,0,0.53217443939121
BS_2EMW8ZG3,0.029557750479763,0.0377131085360631,1.18147037738408e-08,0,0.274899860398835
BS_2EN3X6HB,0.026534031644176,0.0157227620843637,6.51410276827442e-10,9.31483779919524e-18,0.292891484030147
BS_2FEZWH1F,0.106598340653786,0.0206831318521802,6.90964833858206e-08,0,0.478821902120704
BS_2HNXVFAS,0.115656238217893,0.0247755212450247,5.01372091262874e-10,5.80671860445829e-18,0.214123539156675
BS_2JH1QMT1,0.190030777838378,0.0399880807803057,2.3816749324683e-10,2.46576814520631e-18,0.254895912081609
BS_2JP7RBMB,0.242345201782855,0.065206201660364,8.47582911093216e-09,3.21782544293026e-17,0.381262767296467
BS_2K01T8K6,0.218809361034503,0.0854705525706126,1.42705607621436e-08,5.15101375173936e-18,0.395545255175979
BS_2K3FVT86,0.0659520045816609,0.00894263548191393,5.52947116710047e-09,4.0022529057092e-18,0.390331672915178
BS_2KJ2YAZR,0.083476495963984,0.0157976567439765,3.80344416501794e-09,3.00759364749111e-17,0.358610518605454
BS_2PDS3MSS,0.134035298144076,0.0223801125020501,3.32966172384258e-10,1.27912483632964e-17,0.323701082457566
BS_2QCQYY6M,0.174989351636007,0.0395650980118608,3.92313240382412e-10,0,0.36692427178932
BS_2T5PJAW8,0.0438121558855167,0.0361212842493265,2.44869297980425e-09,0,0.311407426160154
BS_2WANPFBJ,0.0486517943321234,0.0237685607694696,7.26450396171502e-07,0,0.406867969736147
BS_2WPQ8YCW,0.0427419131440657,0.0210877750372052,9.28359914275071e-12,5.26639765346737e-18,0.355440901364905
BS_2XM08BFY,0.0407452495214815,0.0342003941350674,0.000292783714963343,0,0.320089256928789
BS_2YCJV2VV,0.0433153553381955,0.0165791679560314,1.41412843349134e-08,0,0.249252930949596
BS_304SPN6B,0.116485528274416,0.0374781674171743,1.20674529064686e-08,3.20948045795776e-18,0.373744307123273
BS_30F3Z9FS,0.166218708449099,0.104993574683892,1.1714564584996e-09,0,0.36052179822823
BS_30VC3R2Q,0.0247268724938968,0.0166675951649356,8.76846880581104e-08,8.6818198053677e-18,0.260727971866145
BS_30YWQ3FY,0.0901120710163908,0.0512120627752372,4.48685978357363e-10,2.41358090745275e-18,0.314203698354681
BS_31MBRWC4,0.163629539079555,0.0842525642678701,2.10011571727259e-09,8.04254312414782e-18,0.344593250690702
BS_333KCNDP,0.394291384090732,0.0693925380738935,3.90674522326151e-10,2.98443159171196e-18,0.407614456118308
BS_33AQSPRP,0,0.0331132000117626,2.88670932297348e-09,9.70610538830664e-18,0.366309957082642
BS_399RPKC9,0.0195811297103927,0.016191574338065,6.00794468882987e-10,1.18278992130117e-17,0.217886696145113
BS_3AC3SRWH,0.0349413407162487,0.0140516066103155,2.03948542796172e-09,3.76177496531902e-17,0.184179384561551
BS_3G3KWY18,0.0140968563428268,0.0190031080499364,5.78414729717103e-10,0,0.286526072481291
BS_3GAN6Q43,0.0258929006177186,0.0355481371072923,1.26628552021153e-07,4.08051968115763e-18,0.362290213404855
BS_3MS8WVNR,0.00895437889099764,0.0182765873898571,5.75104362315977e-09,0,0.0912790455388132
BS_3P20Q2C3,0.0245229991189853,0.0179607183827559,2.02983768938709e-09,0,0.101384925129663
BS_3PYESPHA,0.0598217966026391,0.036436116557229,2.55648840486358e-10,2.77933692077511e-18,0.176264515485054
BS_3Q0GTSYH,0.0106617642900635,0.0219700289882738,2.40231141382555e-09,0,0.225081590538273
BS_3TJHY996,0.0940336650354715,0.0278482226505306,3.09979174445417e-08,2.78411931518528e-18,0.487823501521124
BS_3VJ0CA6A,0.00879866598642475,0.040991891296238,9.93300365547031e-10,1.01551645421118e-17,0.328450438477671
BS_3XY76V8T,0.0394541402425972,0.0255757094276924,2.32559101595217e-09,3.20978144047424e-17,0.325835313128005
BS_3XYJBBHQ,0.0403493235788224,0.0183672235285632,2.99708041780442e-05,0,0.42105204712208
BS_3Y2X2RBJ,0.072490091924899,0.0319803711520487,9.19694491045127e-10,1.55290798920103e-17,0.354709726387453
BS_3ZPJAK9A,0,0.0253132710719318,1.45159704233624e-10,0,0.304040429043374
BS_401R3KV0,0.0299703884468906,0.017745853326102,4.41733298595441e-10,2.14050887589266e-18,0.267513426478713
BS_42DY6WS7,0.0361195237032135,0.016125064108892,8.13445589177904e-10,0,0.229246056722736
BS_42Y3YANN,0.0178560650916557,0.0148987754098928,6.03451854308074e-09,1.33594139413474e-17,0.275735546971776
BS_45J79YTF,0.00357114402459637,0.0308284490241798,1.05182694384154e-09,3.15569027668391e-17,0.169387812252448
BS_470DYRJQ,0.0315626664254695,0.0122739288858401,1.53003573827694e-09,3.90930139963204e-17,0.311139889773964
BS_47SJZ3PH,0.0433118427917371,0.0177228014000345,6.2673814160272e-10,2.02160791535342e-17,0.301691535810664
BS_49852ZBH,0.00895437889099764,0.0135558817543876,1.0709006351272e-11,1.42132822430083e-17,0.273209090826425
BS_49BQS7Z6,0.0275973088042238,0.0267185570986034,3.84991072478409e-09,7.44853578950136e-17,0.17922368321986
BS_49CJNZ06,0.0497357726674221,0.0212178235305312,1.65535407415556e-09,3.55194944289419e-18,0.267432110112494
BS_4A45GGSW,0.0177353656577512,0.0147426537376785,2.90055911771492e-10,1.89623058135751e-17,0.215927024632841
