ecotype	gene	log2FC	q_BH
Lymphocyte-inflamed	HBA1	2.0409868210992794	3.1049851931932274e-11
Lymphocyte-inflamed	LGALS3	2.039949296581331	0.0
Lymphocyte-inflamed	STAB1	2.035969854431957	0.0
Lymphocyte-inflamed	CD48	2.0345787041321435	0.0
Lymphocyte-inflamed	LAPTM5	2.025185005024638	0.0
Lymphocyte-inflamed	ENSG00000284969	2.01820759491447	2.69719470173394e-13
Lymphocyte-inflamed	C3AR1	2.018109055822916	0.0
Lymphocyte-inflamed	MNDA	2.0162330525336407	0.0
Lymphocyte-inflamed	TREM2	2.014995036029088	0.0
Lymphocyte-inflamed	GIMAP4	2.003262458304079	0.0
Lymphocyte-inflamed	IL10RA	2.002227670640116	0.0
Lymphocyte-inflamed	SPP1	2.0006066413166526	0.0
Lymphocyte-inflamed	SLC11A1	1.9978085984315852	0.0
Lymphocyte-inflamed	APLNR	1.9970142784530882	1.3054021973507628e-13
Lymphocyte-inflamed	RNASE1	1.984981081337077	0.0
Lymphocyte-inflamed	LST1	1.9801960994019718	0.0
Lymphocyte-inflamed	C1R	1.9790340517912952	0.0
Lymphocyte-inflamed	CCL3	1.9783453417929135	1.6861982782759327e-13
Lymphocyte-inflamed	HCLS1	1.9765859148164053	0.0
Lymphocyte-inflamed	GMFG	1.9755811107170267	0.0
Lymphocyte-inflamed	CD84	1.9732283667059243	0.0
Lymphocyte-inflamed	TLR2	1.970622570062405	0.0
Lymphocyte-inflamed	C1S	1.9703129034277973	0.0
Lymphocyte-inflamed	SCIN	1.9671846264404018	0.0
Lymphocyte-inflamed	CTSC	1.9652634272717888	0.0
Lymphocyte-inflamed	GBP2	1.9615098641607407	0.0
Lymphocyte-inflamed	CTSZ	1.9591699214798144	0.0
