sample	PC1	PC2	ecotype	ecotype_k3	ecotype_k2
BS_X0XXN9BK	3.131876075266991	-3.5552514326870424	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_X1G0TKP4	2.112634565694792	2.0056239017095048		Myeloid-dominant	Immune-active
BS_X20JCR4H	3.698939406562497	-1.6258254779823316	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_X23724NJ	0.3744754874614034	-3.2920288911615607		Myeloid-dominant	Immune-active
BS_X3HR4Z21	0.5348332998603991	2.7967873553322944		Myeloid-dominant	Immune-active
BS_X4DD4KSZ	6.654632821178028	1.5109955593482105	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_X4X1SFSE	-3.331691765428892	2.60081308243394	Immune-desert	Immune-desert	Immune-desert
BS_XG0DBWVT	-4.288033054539351	-1.0644019808208014	Immune-desert	Immune-desert	Immune-desert
BS_XGDPK33A	-1.379531755830804	3.397039499412425		Myeloid-dominant	Immune-desert
BS_XM1AHBDJ	-3.924570768780922	1.2574565509543925	Immune-desert	Immune-desert	Immune-desert
BS_XQ5SFW35	2.023722250754082	0.9659710655433004		Myeloid-dominant	Immune-active
BS_XQXXBWPD	3.596545986979	0.7574589067677984	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_XYVCMF4A	-2.603532451719622	-0.4925899481960106		Myeloid-dominant	Immune-desert
BS_XZM79E42	4.422394721284857	1.0135434857704686	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_YA0KMBRT	-2.7068649816883794	-1.7092309825087812		Myeloid-dominant	Immune-desert
BS_YDEVMD24	-1.1947588049469144	3.6195881121573774		Myeloid-dominant	Immune-desert
BS_YMKQT5V0	6.151468424671906	-0.0974578844483493	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_YR12D1ZY	2.915599290249786	1.4535487833147749	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_YSZRQ95C	0.1343346463256443	-1.6281481711061996		Myeloid-dominant	Immune-active
BS_YTWEM5SG	6.278097752008753	1.300255807960288	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_YZ2QFDAN	-0.7383661886315702	-3.012214816843948		Myeloid-dominant	Immune-desert
BS_Z0ZPD9S9	2.7530940715459327	1.23290838702947	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_Z3RCA1T9	1.6718721942822392	2.4023642861766663		Myeloid-dominant	Immune-active
BS_Z8F3GM85	2.7902915329968807	1.3584685808175772	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
