gene	log2FC	z	p	q_BH	mean_eco_log2tpm	mean_rest_log2tpm	n_eco	n_rest
CDH26	-0.2956263432762185	-4.67391447011206	2.9551243803105365e-06	0.000424928976043926	0.5234161751304407	0.8190425184066592	160	189
TTN	-0.7130935754302882	-4.672317278699561	2.978204281189889e-06	0.00042566792033440544	0.6788677677978742	1.3919613432281623	160	189
EEF1A1	1.1049573600762344	4.670187690149561	3.009246620111483e-06	0.0004268713456147442	11.35437496047514	10.249417600398905	160	189
IKZF1	-0.692242613297998	-4.668058101599561	3.040599233283814e-06	0.0004268713456147442	1.795202522611234	2.487445135909232	160	189
POLR2J	0.6965022480232834	4.669122895874561	3.024883958202551e-06	0.0004268713456147442	5.48289477920398	4.786392531180697	160	189
ARRB1	-0.5834015951283087	-4.649956598924563	3.3200488720463994e-06	0.0004303215591680299	2.9986730591211117	3.5820746542494204	160	189
PHACTR1	-0.6803401770124724	-4.653683378887062	3.2605735704738237e-06	0.0004303215591680299	3.1693220300006106	3.849662207013083	160	189
RNF213	-0.6254771579421226	-4.651021393199563	3.3029505925874503e-06	0.0004303215591680299	4.67706927748933	5.302546435431452	160	189
TMC8	-0.49303156767335543	-4.660072144537062	3.1609857151781995e-06	0.0004303215591680299	1.3502976941532978	1.8433292618266532	160	189
BNC2	-0.7008767511884879	-4.664863718774561	3.088216394608878e-06	0.0004303215591680299	0.9544298109988103	1.6553065621872982	160	189
PCDHGA9	-0.790193842606707	-4.656877761712062	3.2104092864138067e-06	0.0004303215591680299	2.01958004449868	2.809773887105387	160	189
RNF133	-0.17106773152124077	-4.6563453645745625	3.2187182781306944e-06	0.0004303215591680299	0.1674153752760194	0.3384831067972602	160	189
RPL23A	0.7912130480620387	4.6552805702995625	3.2353981813670885e-06	0.0004303215591680299	9.030309853744187	8.239096805682149	160	189
DCAF13P3	-0.1761539474498865	-4.648891804649563	3.337232019173797e-06	0.0004303215591680299	0.24552420396273655	0.42167815141262305	160	189
CCDC17	-0.3678237432551228	-4.661136938812062	3.144673985655544e-06	0.0004303215591680299	0.5050008126074236	0.8728245558625464	160	189
PIK3CD	-0.5650639008939224	-4.652086187474563	3.285936780894616e-06	0.0004303215591680299	1.870172135157535	2.4352360360514576	160	189
H1-1	-0.6574765555532616	-4.648891804649563	3.337232019173797e-06	0.0004303215591680299	0.7780726998384495	1.435549255391711	160	189
RSL24D1	0.7317838445456673	4.651553790337062	3.29443315316702e-06	0.0004303215591680299	5.247937485688674	4.516153641143006	160	189
ENSG00000268472	-0.14414862738557277	-4.663798924499561	3.1042471397846327e-06	0.0004303215591680299	0.18531237297593633	0.3294610003615091	160	189
BOLA2	1.090603862927432	4.652086187474563	3.285936780894616e-06	0.0004303215591680299	4.794986849517298	3.704382986589866	160	189
RPA4	-0.24596419223793792	-4.641970641862064	3.45101903787004e-06	0.00044258852806759226	0.22804456049132987	0.4740087527292678	160	189
ENSG00000254682	0.6570068589949276	4.639841053312064	3.4867725440257402e-06	0.00044476970634169203	2.200343907033376	1.5433370480384485	160	189
PCDHGA7	-0.693247102128483	-4.633452287662064	3.596176710418675e-06	0.00045384515229464616	1.4238746545432588	2.1171217566717417	160	189
H4C2	-1.4849356678185628	-4.633452287662064	3.596176710418675e-06	0.00045384515229464616	3.7476386994179562	5.232574367236519	160	189
PTPN22	-0.44258507800725105	-4.627063522012065	3.708867863050358e-06	0.000454757720873299	0.45656167602740744	0.8991467540346585	160	189
RAPGEF6	-0.61956355305963	-4.628660713424565	3.6803818210806583e-06	0.000454757720873299	2.665220276691897	3.284783829751527	160	189
SLIT3	-0.5008559543806006	-4.627595919149565	3.6993491112635724e-06	0.000454757720873299	1.0089690764827304	1.509825030863331	160	189
RPL3	0.8876961789370306	4.629725507699565	3.66150778274843e-06	0.000454757720873299	9.334272304975954	8.446576126038924	160	189
SNTB2	-0.5363335388006369	-4.628660713424565	3.6803818210806583e-06	0.000454757720873299	2.2130853557819252	2.749418894582562	160	189
ZNF852	-0.5721737219814267	-4.626531124874565	3.718410092279356e-06	0.000454757720873299	1.4881724395943892	2.060346161575816	160	189
ENSG00000289502	0.6390989890769574	4.623869139187065	3.7664753411714713e-06	0.00045593568339099145	1.8217618880943314	1.182662899017374	160	189
MET	-0.9205224274221682	-4.624401536324565	3.756814892730276e-06	0.00045593568339099145	1.276394585810557	2.196917013232725	160	189
ATXN7	-0.7605767131974206	-4.6228043449120655	3.7858677262025964e-06	0.0004559568409740244	2.9652174629631562	3.725794176160577	160	189
RREB1	-0.6487581013663044	-4.620142359224565	3.834768322219517e-06	0.00045951370309585995	1.8969361286736615	2.545694230039966	160	189
TNRC6B	-0.8632732366186824	-4.606832430787067	4.088492106202324e-06	0.0004636449597040673	3.1747653663712976	4.03803860298998	160	189
ENSG00000260081	0.5720619510680447	4.603638047962067	4.151737727164928e-06	0.0004636449597040673	1.9903592214135508	1.4182972703455061	160	189
ENSG00000279608	-0.5217856475024872	-4.614818387849566	3.934392036386569e-06	0.0004636449597040673	0.6886227157279313	1.2104083632304186	160	189
FOXP1	-0.609666086008469	-4.616415579262066	3.904247369623803e-06	0.0004636449597040673	3.2904739422255376	3.9001400282340066	160	189
