Kids_First_Biospecimen_ID	Antigen_presentation_HLA_I	Antigen_presentation_HLA_II	CCR2_chemokine_axis	CSF1R_TAM_axis	Exhaustion_core	Hypoxia_HIF_targets	MDSC_granulocytic	MDSC_monocytic	Senescence_T_cell	Suppressive_cytokine_axis	TCM_Naive_loss	Treg_signature	HLA_I_minus_II
BS_5965SFPZ	0.6624273827567071	0.614132926244033	0.20695810449179772	0.27113418430393244	0.1920569771554639	0.609748844668841	0.20767995603115588	0.3570504926953193	0.4384353210440976	0.38412973406197976	0.23409040235203493	0.18577422548488387	0.048294456512674055
BS_5EFYPZT0	0.6567558250630855	0.5668630676716058	0.3898110943708922	0.4434800938715787	0.24102750984902974	0.6480784506637736	0.32678889146581946	0.4448505606170626	0.44147079592505656	0.3520827805090645	0.3113105209747021	0.2615606527302959	0.08989275739147973
BS_5G5BD2MD	0.667661386402591	0.7266472725478234	0.5036626313355426	0.4500300363577762	0.3836581464940555	0.6644675362900293	0.36117025420228777	0.5072168404136844	0.5024533576169884	0.49650853884219254	0.4275643461037644	0.3264699893777672	-0.05898588614523237
BS_5K95FX4C	0.6861236660413399	0.7317627853972799	0.3201780803701419	0.33511217718811737	0.4261776227024997	0.666344359408031	0.4846865123825142	0.5972730133689579	0.5157194072204433	0.48324433124035215	0.42765950433017436	0.4392266784694427	-0.045639119355940005
BS_5KBXD2GQ	0.6641073109587875	0.6766339709741224	0.38603714932766825	0.39847852184327087	0.17013437612922128	0.6171632837467791	0.3922129664994451	0.4834996933025823	0.31622148122426974	0.45905150928017024	0.2770297935798706	0.2500629571664789	-0.012526660015334867
BS_5PXZ8F7W	0.645553117597118	0.6662210553433309	-0.11646153371231584	0.23319970574797944	0.2356500516199363	0.7175291404966746	0.10462011828748935	0.4093681637167699	0.5120932717346931	0.4374778798081479	0.35094548946761334	0.24785899606781317	-0.020667937746212894
BS_5VPM0F36	0.6826454416437406	0.7393614845585962	0.40809894816806885	0.4709678304427977	0.37157013832008284	0.6456454588858059	0.4581558088266243	0.5817730887260204	0.48515221657520763	0.49636170240712196	0.3897197136877898	0.36362233959058143	-0.05671604291485555
BS_62SW4CC5	0.7088314433184121	0.6940477015931587	0.5064061638114697	0.5047451489417795	0.4183261290323697	0.7072976669088544	0.414894074753155	0.5692163070160934	0.5103526984418264	0.5557761624250673	0.5008021532446895	0.445587343992392	0.01478374172525343
BS_65WPD3DA	0.602283833513976	0.5548898634670285	0.2421602553113016	0.19662632724457746	0.3725328112873003	0.5858158491131813	0.28866197747256384	0.41513020151866015	0.5184645865189719	0.4277896559568432	0.36272424709684736	0.3159571938764701	0.04739397004694745
BS_68KX6A42	0.6806704957490299	0.7147816494472076	0.3908280657449372	0.3630044873034853	0.34823443538540205	0.6185107052401002	0.253441171507396	0.5038814755180615	0.4947178083839738	0.47561251323225257	0.3458523920792164	0.33702554427151155	-0.03411115369817763
BS_6DCSD5Y6	0.6401610455812866	0.6327994107497115	-0.17817029555508426	0.20754573760721134	0.201218729710203	0.6948259932039851	0.2036722773998664	0.3674478405656173	0.40755395186750015	0.4132497774090433	0.23823877724113432	0.24078171541694868	0.007361634831575148
BS_6H4Q24WA	0.6693215420231932	0.7131846748566848	0.36344551740552483	0.25550217777500683	0.3854469814489604	0.6582687720524597	0.34245576172577175	0.5360713190212687	0.5367329462822359	0.47913255499570223	0.4186748456768781	0.41140048406872826	-0.043863132833491636
BS_6M2053M0	0.6519490013389181	0.6888748959654638	0.21834770745338214	0.29895590908797026	0.25384451300632094	0.6058732322879888	0.29027581042110706	0.4612190352759622	0.5018178781541829	0.44252868396884404	0.30314408187607617	0.24830418903699758	-0.03692589462654572
BS_6SY64H5J	0.650928115962543	0.7006334038119105	0.5234358945921461	0.4051130135139896	0.43499185822529973	0.6322806857629127	0.4408737182538638	0.5723770256048171	0.5125699407244553	0.5036564569987303	0.4808000949739182	0.4263893270174975	-0.04970528784936756
BS_6VRG1XFB	0.6192268636364163	0.6458824093263468	0.013888434806416472	0.22721729541071442	-0.011578842374853317	0.6894304397175322	0.17490740350589373	0.3847765994826298	0.29075444698983777	0.4143006454227533	0.11804161722060537	0.2724407848319521	-0.02665554568993045
BS_6WP1FHTE	0.6769929956250066	0.7280089323977774	0.2895905059619477	0.43287385131067185	0.30624279198017634	0.6047372628895457	0.29435428012756665	0.4815223476674903	0.48990138373433284	0.45417275305816945	0.33380851726277866	0.30571757646899744	-0.05101593677277083
BS_7327SDAQ	0.6325564728436657	0.6820242752525444	0.1654953139683221	0.2455379875584665	0.2193076939308293	0.6449381428798633	0.1630410012755793	0.3860302768043021	0.4491481744460764	0.4224651409028026	0.2874902821714526	0.2972660146358979	-0.049467802408878714
BS_75YRDXET	0.6701469417435706	0.7098956302043135	0.38294589850641036	0.34123398548644246	0.42902700259056353	0.6324549439472447	0.5389886239791026	0.5662659362688127	0.552659309415319	0.47716562459427697	0.4756662099250397	0.3952864384083915	-0.039748688460742865
BS_77SBTNPN	0.6582115204314161	0.6659681591963607	0.15273046870280066	0.26796981851607093	0.20887379010455379	0.6395119197045154	0.30064219500894596	0.4159170642771184	0.42612475758177937	0.3151004877219115	0.32974504013049016	0.3122629888713289	-0.00775663876494459
