sample,MCP_CD8,QTS_CD8,EPIC_CD8,Cytolytic_ssGSEA
BS_C51RB0YR,0.22650852980868,0,0.0112477576788021,0.35065208472306
BS_C6SKJG3N,0.356143810225275,0,0.0168027697312157,0.383574424392354
BS_C6ZZ3FY5,0,0,0.0240748956947761,0.280952009142845
BS_C83TK159,1.73984810269933,0,0.0271341793966242,0.277879031364567
BS_CB6VK7PB,0.176322772640463,0,0.0212013774590601,0.306761847415585
BS_CBDQZ8PP,0.0565835283663675,0,0.0116207660571701,0.0901506696399756
BS_CC6RREE4,0.137503523749935,0,0.0302482536815565,0.37460908433033
BS_CF63VG3S,0.176322772640463,0,0.0329916910792454,0.380559498888102
BS_CFD3WHAY,0.0143552929770701,0,0.016315547095918,0.232395804959258
BS_CG1RG607,0.0143552929770701,0,0.0136811824392705,0.44736423695535
BS_CGB2WS2A,0.0840642647884746,0,0.0201506860118362,0.179863746818235
BS_CKX8RW1J,0.286881147788162,0,0.0393724923777648,0.358367593578112
BS_CMDJJQ7K,1.25096157353322,0,0.0313949452607667,0.429300380898177
BS_CTR5X93B,0.411426245726465,0,0.0182412294632037,0.327692000862825
BS_CVEDJGHZ,1.07724299893246,0,0.0430708451831289,0.484230194342763
BS_CVGFNCBJ,0.0565835283663675,0,0.0230666954342068,0.149238932537809
BS_CXAQDK7S,1.58496250072116,0,0.00574974456511741,0.510738872840143
BS_CZPQ493E,0.400537929583729,0,0.00727524445181416,0.406404515575494
BS_D29RPBSZ,0.124328135002202,0,0.00989686835910641,0.255044131783029
BS_D3YBV7KB,0.298658315564515,0,2.05501268420569e-06,0.404421577057702
BS_D4VNDNQA,0.16349873228288,0,0.0459286046193745,0.342999730396733
BS_D6J2BGDJ,0.321928094887362,0,0.0293911489425641,0.107846514574534
BS_DEHJF4C7,0.807354922057604,0,0.0156643987514013,0.347796551553569
BS_DFGS950G,0,0,0.0132079701596467,-0.00279027861659849
BS_DMJHAG9X,0.6959938131099,0,0.023713122199413,0.466043484381927
BS_DMZP9G1H,0.0840642647884746,0,0.031546640229698,0.0574431572412528
BS_DNZVP92S,0,0,0.0078064729527238,0.240768395451133
