sample,MCP_macro_mono,QTS_macro,EPIC_macro,xCell_macro_mono,Microglia_Klemm,MicrogliaCore_Bohlen,MDM_Klemm,MgTAM_Antunes,MoTAM_Antunes
BS_RX1YTZ7F,6.16932475094724,0.0325229510422566,0.0145309829655464,0.102726168869501,0.792503197606225,0.767213953582597,0.684921687974323,0.781029374771185,0.728803618661369
BS_RZBFH1QF,1.87011284377176,0.00170931220928636,0.00187085169477382,1.20844277374307e-18,0.484797374344553,0.485470776954565,0.612524375556028,0.487537741841688,0.654062167711759
BS_S1KK7XRH,6.46021580252458,0.0194814683383472,0.0153601136884491,0.188202392724369,0.867534615313931,0.85499621434964,0.73911716739764,0.860537530488562,0.743193963388857
BS_S20SP0WW,7.68256639002598,0.0878706800418141,0.029267070281616,0.190922682704615,0.842567644373294,0.82551091129878,0.7910592834672,0.84981365532705,0.801771530092882
BS_S2TA8R29,4.37584459244036,0.0141527353914642,0.0166155912954601,0.158113914250431,0.851793196755892,0.842473311595529,0.717115085213286,0.845714432597094,0.748522426343284
BS_S3C2PZAH,5.11436346017346,0.0162788704066199,0.0186311599255673,0.220203878787818,0.674826126527703,0.65959006078798,0.753772831730491,0.647722759184264,0.801700955853716
BS_S3MET0JZ,5.1925256194044,0.00904387245319426,0.00940528299960313,0.0469653578450879,0.829646933021175,0.804236560835764,0.645452534449774,0.812916189181005,0.690071804944274
BS_S458NMKH,4.36102408656952,0.0126674767299251,0.00818390424916409,0.103342325741313,0.819923552320209,0.80985832113998,0.718958064146479,0.81669020396712,0.749863803888066
BS_S4V9E1XJ,5.55014048039834,0.0279804649838196,0.0313704553468463,0.266111905619426,0.885612389011875,0.874257686843551,0.775345587561737,0.886889882122611,0.799315764128857
BS_S50KQEXV,5.54157643691358,0.0209458306058281,0.0155042535715138,0.207295888413152,0.871175004513847,0.858142351432087,0.672965256669443,0.872724759157536,0.691288770015972
BS_S5P8VTN5,4.9884520495001,0.017273261030189,0.0172154388225969,0.154843028512508,0.796217894282423,0.779931691656431,0.71932993369991,0.793881086394852,0.739474326159045
BS_S6B9DVNS,2.51817820668486,0,0.00163980948167939,0.00291637330995311,0.541918379602339,0.544907349580392,0.595327505054877,0.539526774495682,0.663965693923369
BS_S6S7SK3P,3.0579394501668,0.00166910900768327,0.00347508596565532,0.00888641112965156,0.680510805072844,0.660529117651881,0.558285878606285,0.665979889825585,0.644716821168508
BS_S8K878T3,8.0165819746299,0.192166193498033,0.038972426795876,0.378693122858367,0.813032994263138,0.798646585323072,0.817838119979021,0.814046223604452,0.83261356308043
BS_SB12W1XT,6.70690188334688,0.0410597093742109,0.0272381900722852,0.261459538295346,0.862916399635876,0.84971693314138,0.710541760345821,0.871902854436855,0.733680787139015
BS_SBMAM00V,6.68237810683568,0.0249512860220983,0.0116156823405281,0.105863490518025,0.772050630608169,0.760318907475129,0.631907690956612,0.779867554609885,0.659287889052627
BS_SBMCD7XZ,6.5358952513494,0.0455823036904699,0.0117885702458239,0.174663809826238,0.876410690647466,0.856014481716009,0.629574205637374,0.868606634402618,0.707390834886828
BS_SD0EMK7Y,6.43985068378446,0.0273020951967427,0.00999413626230156,0.0158953699468218,0.840425986320591,0.837996320916383,0.707043456905133,0.846900387401485,0.767565280808423
BS_SD8YBRBR,1.65725747013771,0,0.000593410492527692,4.57313867270721e-18,0.575616088789113,0.560136235616192,0.543903729746747,0.557773545061635,0.586805234431604
BS_SDA4RMMG,3.99014624830396,0,0.00587919275363066,0.0338299902603502,0.811876168423362,0.798467904910114,0.593886743485583,0.809140693900755,0.637967668788258
BS_SDZY6RZ3,5.55530146466254,0.0202588358454423,0.0102018383022764,0.119606830201971,0.820759702827095,0.806330548510575,0.719412165947033,0.816003517791028,0.729792683898113
BS_SERDGASJ,6.52567156693206,0.0241947532494721,0.0124394981767173,0.0504779975663685,0.819864483687466,0.813070038622145,0.685169449728264,0.818817012515007,0.722662013229765
BS_SFKZSJN1,3.46488496319448,0,0.00563104151646882,0.0110517096688326,0.79600671753789,0.777159825466645,0.586272235947435,0.791035978096482,0.645835969322619
BS_SH2S6SFN,9.0576635223909,0.158561801470119,0.161587836704839,0.84620382864678,0.826746541813632,0.829824055303535,0.759440940609949,0.833628652554403,0.825569608091971
BS_SHMC4902,5.84237650994826,0.0289489454736273,0.021839611217988,0.216281500406432,0.859674151159263,0.844637391767012,0.733321193751453,0.859415613510686,0.708396016824188
BS_SJ0HXCD0,4.25844722645328,0.0448755823033715,0.0190802296277541,0.304402881915404,0.82699384737283,0.805477956580553,0.736921278057798,0.816403522046816,0.788413972586471
BS_SJVTZ5TH,3.4146718694192,0.0116003444096628,0.00586304118107088,0.0350434405448899,0.609892331034352,0.585053871480456,0.658066861433415,0.572577607951462,0.745533194148412
BS_SMWQR2F1,5.96988183460838,0.0178756681235389,0.00842431663689561,0.0813975337174582,0.699804886936687,0.682144979307218,0.68460182115826,0.685113442244263,0.736384696033917
BS_SNVM7CZT,6.16110055844942,0.0405950877646932,0.0195840377886142,0.132183226648489,0.816660908229491,0.789056703761565,0.676373037358139,0.80499883458142,0.742172287265829
BS_SQX5E15Z,7.27680212573342,0.0632011473557497,0.0302278703136574,0.322748868078843,0.912097070589851,0.904240961679925,0.810668364125458,0.910846679658246,0.808517692025962
BS_SR2RGDXJ,5.87699357069652,0.0196100136137752,0.00965590804021156,0.111019394026846,0.808293133397918,0.781784707826342,0.723999740233056,0.809704830679427,0.792904987718796
BS_SW8C9Y5Y,6.66680584800188,0.101611561461537,0.0313250496518972,0.500550970982307,0.865739438881172,0.854108986416822,0.789429133020176,0.862518275064393,0.805097717478855
BS_SW9Z10F9,6.70869108969382,0.0806289558524537,0.0350926537788295,0.324775743407581,0.855320332233902,0.842896456439357,0.729305860059003,0.852210320685695,0.779715910558875
BS_SXRS2P6T,5.5565352478163,0.0211160603395053,0.0133872448902231,0.168374488654954,0.813561915347501,0.802401897031917,0.713506722921725,0.812191487136251,0.735108385827605
BS_SY3J3XR9,4.5381742592933,0,0.00406868055971141,1.16817569859124e-18,0.775248654105474,0.755639196135029,0.553187059877758,0.772455416235593,0.624785560823491
BS_T0MXH2CA,6.2213670318208,0.0409011094661332,0.0149288111311412,0.161079678179923,0.847533809272462,0.829302578731119,0.70712680010424,0.858220237421318,0.743137089568334
BS_T0RKFEKR,6.27249994434162,0.0269983648969399,0.0254068823511544,0.374018935125715,0.825959710316936,0.809748450586235,0.836880063473125,0.806102945918578,0.849049568801694
BS_T1W4JA94,4.70593611844114,0.0130397450646995,0.00990753275580512,0.100740480763834,0.809257719620629,0.799601553178967,0.680458257496905,0.81572619527239,0.708699407084116
BS_T1YHK6B7,4.07820428401562,0.00878473339763887,0.00883565173647769,0.077606638304134,0.686382725280176,0.667868483309891,0.696786851351332,0.667585527108735,0.695293133160496
BS_T289QKBV,6.08146040434574,0.0561222347972277,0.0293660239866384,0.298838414134064,0.809041537789189,0.788125226572563,0.786300110787654,0.808914574751546,0.800850701919209
