feature	family	group_A	group_B	z	p	q_BH_per_feature	mean_A_z_or_frac	mean_B_z_or_frac
quanTIseq_Neutrophil	quanTIseq	Immune-desert	Myeloid-dominant	0.04418807958169588	0.9647544838890834	0.9647544838890832	0.0002339195510379577	9.663096161022062e-05
quanTIseq_Neutrophil	quanTIseq	Lymphocyte-inflamed	Myeloid-dominant	5.37055259915654	7.849573324669734e-08	2.3548719974009202e-07	0.005774963059540112	9.663096161022062e-05
quanTIseq_T cell CD4+ (non-regulatory)	quanTIseq	Immune-desert	Lymphocyte-inflamed	-3.687123088735617	0.00022680366699967536	0.0006804110009990261	0.007557170663013295	0.026064908750604573
quanTIseq_T cell CD4+ (non-regulatory)	quanTIseq	Immune-desert	Myeloid-dominant	-2.0774947759881566	0.03775591689700564	0.03775591689700564	0.007557170663013295	0.015044920244755993
quanTIseq_T cell CD4+ (non-regulatory)	quanTIseq	Lymphocyte-inflamed	Myeloid-dominant	2.0875691943955004	0.03683671326020077	0.03775591689700564	0.026064908750604573	0.015044920244755993
quanTIseq_T cell CD8+	quanTIseq	Immune-desert	Lymphocyte-inflamed	-1.6317318385983066	0.10273598979841703	0.15410398469762554	0.0005603480463197531	0.0007746884062889342
quanTIseq_T cell CD8+	quanTIseq	Immune-desert	Myeloid-dominant	0.9344012750044492	0.35009694030366356	0.35009694030366356	0.0005603480463197531	0.00010630130038678188
quanTIseq_T cell CD8+	quanTIseq	Lymphocyte-inflamed	Myeloid-dominant	2.9962794773443435	0.002732958298806043	0.008198874896418129	0.0007746884062889342	0.00010630130038678188
quanTIseq_T cell regulatory (Tregs)	quanTIseq	Immune-desert	Lymphocyte-inflamed	-3.7471021488768117	0.00017888925094911023	0.0005366677528473307	0.002051218564745959	0.00595575491686109
quanTIseq_T cell regulatory (Tregs)	quanTIseq	Immune-desert	Myeloid-dominant	-2.065468040541762	0.03887873646640583	0.03887873646640583	0.002051218564745959	0.004052255894537608
quanTIseq_T cell regulatory (Tregs)	quanTIseq	Lymphocyte-inflamed	Myeloid-dominant	2.1727538908436896	0.029798845351556524	0.03887873646640583	0.00595575491686109	0.004052255894537608
quanTIseq_uncharacterized cell	quanTIseq	Immune-desert	Lymphocyte-inflamed	8.8061456188602	0.0	0.0	0.8844798268361251	0.728289151675509
quanTIseq_uncharacterized cell	quanTIseq	Immune-desert	Myeloid-dominant	3.563565599764315	0.0003658512119628643	0.0003658512119628643	0.8844798268361251	0.8379266846748651
quanTIseq_uncharacterized cell	quanTIseq	Lymphocyte-inflamed	Myeloid-dominant	-6.548975388533489	5.793321378178007e-11	8.68998206726701e-11	0.728289151675509	0.8379266846748651
ssGSEA_Chemokine_T_Cell_Recruitment	ssGSEA	Immune-desert	Lymphocyte-inflamed	-15.901452149088326	0.0	0.0	0.2815607851315936	0.5769365962340748
ssGSEA_Chemokine_T_Cell_Recruitment	ssGSEA	Immune-desert	Myeloid-dominant	-7.961437891776676	1.7763568394002505e-15	1.7763568394002505e-15	0.2815607851315936	0.43903224920651474
ssGSEA_Chemokine_T_Cell_Recruitment	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	10.1189525949906	0.0	0.0	0.5769365962340748	0.43903224920651474
ssGSEA_DAM_KerenShaul2017	ssGSEA	Immune-desert	Lymphocyte-inflamed	-14.546885810982246	0.0	0.0	0.7747011416418745	0.8823067419199582
ssGSEA_DAM_KerenShaul2017	ssGSEA	Immune-desert	Myeloid-dominant	-7.931175798893176	2.220446049250313e-15	2.220446049250313e-15	0.7747011416418745	0.8397620756139293
ssGSEA_DAM_KerenShaul2017	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	8.532618838495676	0.0	0.0	0.8823067419199582	0.8397620756139293
ssGSEA_Dendritic_Cell_Activation	ssGSEA	Immune-desert	Lymphocyte-inflamed	-13.718255876177608	0.0	0.0	0.14596069168418616	0.37460034828639294
ssGSEA_Dendritic_Cell_Activation	ssGSEA	Immune-desert	Myeloid-dominant	-6.9043925341204355	5.041966844032686e-12	5.041966844032686e-12	0.14596069168418616	0.2595330469609346
ssGSEA_Dendritic_Cell_Activation	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	8.68939490054873	0.0	0.0	0.37460034828639294	0.2595330469609346
ssGSEA_Glioma_Inflammatory_Wang2017	ssGSEA	Immune-desert	Lymphocyte-inflamed	-15.426793731541458	0.0	0.0	0.27916079061055893	0.5509381441467117
ssGSEA_Glioma_Inflammatory_Wang2017	ssGSEA	Immune-desert	Myeloid-dominant	-7.7758395904584905	7.549516567451064e-15	7.549516567451064e-15	0.27916079061055893	0.4182070764900111
ssGSEA_Glioma_Inflammatory_Wang2017	ssGSEA	Lymphocyte-inflamed	Myeloid-dominant	9.758712368949208	0.0	0.0	0.5509381441467117	0.4182070764900111
ssGSEA_IFN_Alpha_Response	ssGSEA	Immune-desert	Lymphocyte-inflamed	-9.459928314840766	0.0	0.0	0.6434730035033005	0.7534443366109576
ssGSEA_IFN_Alpha_Response	ssGSEA	Immune-desert	Myeloid-dominant	-4.362859821188576	1.2837320384040396e-05	1.2837320384040396e-05	0.6434730035033005	0.6947839472281938
