gene	log2FC	z	p	q_BH	mean_eco_log2tpm	mean_rest_log2tpm	n_eco	n_rest
LST1	-2.352194499011722	-10.610793256811007	0.0	0.0	2.4271588543420948	4.779353353353817	78	271
MAN1C1	-1.5371056454346679	-8.31708400211298	0.0	0.0	3.174338075066151	4.711443720500819	78	271
ORMDL2	-1.464881989271856	-8.642482511038768	0.0	0.0	2.763599123987858	4.228481113259714	78	271
CD48	-1.6844375607963618	-10.738787582239743	0.0	0.0	0.6375773667742468	2.3220149275706086	78	271
VKORC1	-1.2389561523633663	-8.488379890373325	0.0	0.0	4.454583056265145	5.693539208628511	78	271
HLA-DMA	-2.3461053022186484	-11.3106229266925	0.0	0.0	2.727460172898071	5.07356547511672	78	271
PPP1R18	-1.3209631234381671	-8.816962337742616	0.0	0.0	3.942684022958759	5.263647146396926	78	271
CD300A	-1.638026094331196	-10.833032160167368	0.0	0.0	1.6346369153199378	3.2726630096511338	78	271
NCF4	-1.449136494610408	-10.40129010722865	0.0	0.0	1.183210301250801	2.632346795861209	78	271
SLC2A5	-1.6027727570587418	-8.645029661793568	0.0	0.0	2.0606248125885425	3.6633975696472842	78	271
SLAMF6	-0.33131176397709355	-9.358231873137765	0.0	0.0	0.06404498491455429	0.39535674889164785	78	271
CYP2S1	-0.6131662741193581	-8.338734783528785	0.0	0.0	0.45714792918610214	1.0703142033054602	78	271
GNGT2	-1.0479256511015804	-9.66962105291215	0.0	0.0	0.5857410007352571	1.6336666518368377	78	271
C1orf162	-1.7630137565586341	-10.700580320917732	0.0	0.0	1.937532790093557	3.700546546652191	78	271
RGS10	-1.715305589453345	-8.698519827644384	0.0	0.0	3.07847953629861	4.793785125751955	78	271
ENSG00000285702	1.2682358436839163	8.312626488292079	0.0	0.0	2.71866892996925	1.4504330862853339	78	271
TES	-1.147084906266893	-8.864084626706429	0.0	0.0	1.1951142522954505	2.3421991585623436	78	271
OSTF1	-1.3936417242734191	-9.090144256194991	0.0	0.0	2.7734682062693614	4.167109930542781	78	271
PTPN6	-1.7281064758779774	-10.175230477740088	0.0	0.0	2.099630188622131	3.8277366645001085	78	271
CD14	-2.520309471820513	-10.683387053322827	0.0	0.0	3.1481705216757567	5.66847999349627	78	271
RPN1	-1.18062809410059	-8.623378880377762	0.0	0.0	5.188420973482677	6.369049067583267	78	271
CCR2	-0.4146053238249298	-9.646696696118944	0.0	0.0	0.09967656175637067	0.5142818855813005	78	271
PARP9	-1.4909377977368083	-8.996536465956066	0.0	0.0	2.8880539350661985	4.378991732803007	78	271
CALHM6	-1.4911855272749002	-10.14466466868248	0.0	0.0	1.0048595682343515	2.4960450955092517	78	271
C2	-1.9227595186762168	-10.14593824405988	0.0	0.0	2.037669044487821	3.960428563164038	78	271
ARPC2	-1.2271488131024793	-8.515124973298734	0.0	0.0	5.838976001157227	7.066124814259706	78	271
USP32P3	1.6299421505145626	8.382673134049098	0.0	0.0	3.1526845696236876	1.522742419109125	78	271
PLAU	-1.6400713928443558	-8.836065968403622	0.0	0.0	1.288879961182125	2.9289513540264807	78	271
RPS6P25	0.6023372379495631	8.334277269707885	0.0	0.0	0.9786514159960885	0.3763141780465254	78	271
CPVL	-1.5997560439982976	-8.89974473727364	0.0	0.0	2.660413160924076	4.260169204922374	78	271
SCIMP	-1.048497247972106	-9.245520452237834	0.0	0.0	0.7217005524325513	1.7701978004046572	78	271
RIPK3	-0.8283296908841206	-8.492837404194228	0.0	0.0	0.5737130985577418	1.4020427894418623	78	271
SP100	-1.4201267227124448	-8.712529156795787	0.0	0.0	2.977923006040452	4.398049728752897	78	271
RAB13	-1.71711992923779	-9.185025621811317	0.0	0.0	4.958198030974318	6.675317960212108	78	271
TMEM255B	-0.8357441326841318	-8.438710450654712	0.0	0.0	0.8334834215771204	1.6692275542612522	78	271
MSR1	-1.9384977052663626	-10.242093185053607	0.0	0.0	2.0551240826177755	3.993621787884138	78	271
ENSG00000289273	-1.6019955664349295	-9.23405827384123	0.0	0.0	1.8648072929690211	3.4668028594039506	78	271
ENSG00000253372	0.5836619788208	8.296070008385874	0.0	0.0	0.7245433452399588	0.14088136641915877	78	271
